q13_text,q14_text,q15_text,q16_text,q17_text
porque acho que a policia nao pode fazer isso,estupro é mais grave,roubar carro é pior que bater carteira,pq a vitima era mulher,estupro é mais grave
em alguns casos a família deve intervir de forma violenta mesmo,em alguns casos a família deve intervir de forma violenta mesmo,em alguns casos a família deve intervir de forma violenta mesmo,em alguns casos a família deve intervir de forma violenta mesmo,em alguns casos a família deve intervir de forma violenta mesmo
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
menos injusto,NA,NA,NA,NA
"por ser entre uma idosa e uma adolescente, escolhi a adolescente. mas não concordo com o linchamento em nenhum dos casos...","por conta de se tratar de um estupro, fui por ""gravidade"", mas os dois são bem graves...",NA,NA,NA
NA,NA,NA,NA,NA
porque sempre são os mais vulneráveis que são mais prejudicados,sempre os mais fracos levam,NA,NA,NA
assassinato,pq é como se fosse uma quebra de paz entre os povos,por ter usado de violência contra mulher,fez algo mais grave,todos merecem a mesma justiça
porque homens sofre mais,porquê sim,sempre assim,depende da situação,adulto é mais visto
NA,NA,NA,NA,NA
"crime contra criança é complicado, eu não sou a favor de linchamentos, que fique claro.","quem molesta criança merece tudo de ruim, mas fazer justiça com as próprias mãos não é legal.",porque é contra mulher.,"contra mulher é covardia, inaceitável.d",um senhor agredindo mulher? não dá.
pra tudo eles dão uma justificativa,safadeza,pais sem punição,a vítima sempre acaba sendo a culpada,sem palavras
"para mim, uma pessoa, independente de ser homem ou mulher, negro ou branco,  deve ser punido severamente em caso de molestar uma criança ou adolescente.",porque o indivíduo assassinou uma pessoa.  o roubo do carro também é grave.,mais um caso de assassinato. por isso escolhi.,para mim uma pessoa que molesta uma criança um adolescente ou qualquer caso de e****** tem que ser punido severamente independente de cor idade e gênero,um caso de e****** na minha opinião esse indivíduo tem que ser morto
"matar uma criança. 
os vizinhos não são representantes da lei.","o adulto matou o idoso, tem maior consciência do que faz. 
a família agiu pela emoção","foi bem mais grave, né","crime mais grave. 
a policia não pode fazer esse tipo de coisa em hipótese alguma.",assassinato é mais grave.
NA,NA,NA,NA,NA
geralmente essas pessoas estão em classe inferior e sofrem estigmas,mesma situação estigmas,nenhum é justificado na minha opinião mãe ocorrem por preconceito,mesma situação estigma,geralmente são as pessoas que acham que comandam a criminalidade
infelizmente a justiça as vezes não é comprida. pra este tipo de caso tem q ter linchamento,crime grave . geralmente a justiça solta com pouco tempo de cadeia..as vezes nem preso vai,assassinato um crime brutal q as vezes não se resolve pela justiça,um crime contra a moral da pessoa,um crime q muitas vezes a justiça não resolve
pela violência do caso,pela brutalidade da ação,envolve assassinado,envolve idosos,envolve criminoso que mora na região
na verdade não tinha a opção de ser contra o linchamento,"porque não sou a favor de linchamento, porém quando existe molestar fico propensa a ser a favor",caso do estupro,molestar,molestar
porque homem tem que dá exemplos,reações,exemplo,tem que  pensar,educação
molestou,molestou,assasinou,molestou,masculino
NA,NA,NA,NA,NA
estuprou,gangues,estuprou,molestou,assassinou
porque molestou acho um absurdo isso,NA,NA,NA,NA
"na verdade sou totamente contra isto , nao entendo nao ter esta opção","nao tem justificativa algo assim , ou entendi muito mau a pesquisa","ate o momento nao entendi , mas em caso nenhim estevtipo de atitude e correta","motivo  nenhum, totalmente contra este tipo dr atitude",sem justificativa desse pensamento
nada justifica o linchamento,não de deve ser linchado,também acho que não deveria ser linchado,pelo estupro,por morar em outro bairro
por que é adulto e foi só a família da vítima. embora eu não concorde.,por que molestar um adolescente é pior que roubar um carro de adulto.,o estupro ao adolescente terá consequências pro resto da vida.,o estupro é mais grave que bater carteira.,NA
"não acho justificável, mas não tenho opção.",nenhum caso.,nenhum caso.,"nenhum caso.
",nenhum caso.
por ter tirado a vida se outra pessoa.,"por que estuprou, acho isso mais terrível.",estupro.,assainou,"tirar a vida , ninguém pode fazer isso."
"porque eu tinha que escolher um, sou contra linchamentos",por ser um estupro pode ser que o familiar tenha linchado o criminoso no calor da raiva,"por se tratar de molestar uma mulher, pode ser que os pedestres tenham ficado com muita raiva. mas sou contra","por ter roubado um idoso, a família pode ter ficado com muita raiva",estupro geralmente a família não perdoa e fica com muita raiva
porque ele bateu a carteira de um idoso,porque molestou outra pessoa,porque ela assassinou uma criança,porque bateu a carteira,porque quem estupra tem que morrer
por ele ser adolescente,molestamento,esupro é imperdoavel,assasinato,assassinato
acho justo,normal,ruim,pouco,verdade
por conter elementos que justifiquem tal ação face a covardia praticada por criminosos à vítimas indefesas ou em ato vulnerável,por conter elementos que justifiquem tal ação face a covardia praticada por criminosos à vítimas indefesas ou em ato vulnerável,por conter elementos que justifiquem tal ação face a covardia praticada por criminosos à vítimas indefesas ou em ato vulnerável,por conter elementos que justifiquem tal ação face a covardia praticada por criminosos à vítimas indefesas ou em ato vulnerável,por conter elementos que justifiquem tal ação face a covardia praticada por criminosos à vítimas indefesas ou em ato vulnerável
acho que muitos são espancados qdo estupram,por não morar naquele bairrro,quando ocorre assassinato,por ser homem,por fazer parte de gangues
NA,NA,NA,"quando envolve crianças.
",envolve pessoa incapaz.
não aceito esse  tipo de crime.,não aceito nada com crianças,não aceito crimes  com criancas.,não nao aceito estupro,NA
"policiais nao devem incentivar as atitudes de linchamento, isso desencadearia mais violencia pq vem como exemplo de uma autoridade.
nao concordo com nenhum dos casos, mais devido ao q citei acima escolho o 2.","esolhi devido ao tipo de crime cometido, mais nao concordo com nenhum no final das contas","escolho o 2 devido ao tipo de crime, molestar em de desvio q comportamentos q podem ser de fundo psiquiatrico.
crime furto nao sabe o q levou a pessoa a cometer.
porém em ambos nao concordo com atitudes de linchamento.",novamente escolho o 2 pq nao acho q autoridades devem incentivar esse tipo de comportamento na comunidade.,"mesmo o crime do 2 sendo menor referente ao 1, continuo com a premissa de q autoridadws nao devem dar o mau exemplo e incentivar esse tipo de comportamento."
NA,NA,NA,NA,NA
"porque tinha que escolher um caso, e no caso não foi a polícia","porque tinha que escolher um caso, e no caso molestou uma criança",assassinou uma pessoa,estupro,família da vítima
e de mais  certeza,porque ele matou,porque  ele matou 1 criança,porque  ele matou,é  o correto
"não acho correto nenhum tipo de linchamento,  mais entre os dois, acredito que seria mais fácil ter um linchamento no crime 2 por envolver uma idosa.","porque a população não aceita estupros  e nesse caso, o criminoso poderia ser até branco que seria linchado",porque envolve uma criança e a família se pegasse o criminoso com certeza lincharia.,envolve uma criança e a sociedade não aceita crimes contra crianças.,porque é estupro e a sociedade não aceita crimes desse tipo
porque violência contra a mulher é um crime que há tabu e a maioria das vezes é a vítima que sofre o julgamento popular como a causadora do crime.,porque a polícia não pode usar sua posição de autoridade para fazer justiça com as próprias mãos.,"não acho que linchamento deve ocorrer, mas acredito que o caso 2 é mais justificado pois o crime foi contra um idoso, que provavelmente não tem força física pra se defender, pedir ajuda ou tentar fugir.","crimes contra crianças, independente do gênero ou etnia do criminoso, é covarde é imperdoável.",crimes sexuais são imperdoáveis.
porque eu achei que o crime da criança é mais justificado,porque onde se justifica mais,porque é o que mais justifica,porque é o mais justificado,porque é o que mais se encaixa
"apenas por ter que escolher 1, sou completamente contra qualquer tipo de violência","apenas por ter que escolher 1, sou completamente contra qualquer tipo de violência","apenas por ter que escolher 1, sou completamente contra qualquer tipo de violência","apenas por ter que escolher 1, sou completamente contra qualquer tipo de violência","apenas por ter que escolher 1, sou completamente contra qualquer tipo de violência"
por que é o que vemos constantemente acontecendo,por conta de ter o estupro e ser de outra vizinhança enfim,"na verdade os dois mais a questão de estupro, e a cor da pessoa a raça não tem nada haver é criminoso do mesmo jeito",quando há estupro já era,o estupro a violencia enfim
na verdade nada justifica um linchamento. mas como tenho q escolher,o mesmo seguimento da primeira pergunta,sem motivo aparente,NA,NA
crime ediondo,por ver os índices,menor feminino,contra crianças,crimes contra mulher
"é o menos pior , uma mulher ser linchada,  me choca mais",o homem molestou a vítima .,por ser estrupro,assassinou a vitima,assassinou a vitima
ato de estrupo,estrupou uma criança,nao sei,nao sei,mexeu com uma pessoa idosa
justifica pelo crime de estupro,nessa caso estamos falando de um criminoso,estamos falando de um assassino,"não é justificável, mas entendi a revolta",ladrão que bate em ladrão tem 100 anos de perdão
NA,NA,NA,NA,NA
"gênero da vítima, e por ser da vizinhança (pressupõe-se que sabe da realidade e esforço das pessoas)",tipo do crime (assassinato).,tipo do crime (melestou),tipo do crime,tipo do crime
"crimes contra crianças são inadmissíveis, principalmente pedofilia e estupro de vulnerável",interromper uma vida jovem é cruel demais,as mulheres são as que mais sofrem. deve haver proteção redobrada,temos que ter uma proteção especial para os idosos que são muito vulneráveis,"os traumas que ficam são pra vida toda, tem que ser feita justiça"
porque no brasil deveria existir pena de morte,na maioria dos casos quando a polícia chega o ladrão  já está longe,a sociedade tem que mostrar que e forte,porque todo estupro teria que ser punido com morte,morar na vizinhança e fazer errado onde mora e o cumulo
NA,NA,NA,NA,NA
porque não tinha a opção de não escolher nenhum.,porque não tinha opção de não escolher nenhum.,porque não tinha opção de não escolher nenhum.,porque não tinha opção de não escolher nenhum.,porque não tinha opção de não escolher nenhum.
não tinha muita opção l,NA,NA,NA,NA
NA,porque a família e que passa a dor,intuito,por justiça,por justiça
"pelo fato de ""molestar"" uma criança, um ser indefeso e inocente.",nada pode justificar o assassinato de uma ser indefeso como uma criança.,"na minha opinião, considero uma mulher idosa completamente indefesa contra um homem.",considero a mulher indefesa diante de um homem.,considero uma pessoa idosa indefesa diante de um homem.
não sei porque vir um quadrado vazio então clikei,não sei,NA,NA,NA
por que é a realidade,por que é a realidade,por que é a realidade,por que é a realidade,por que é a realidade
por  falta  de opções    na0  concordo  com tudo  da  opção  1  e  nem  concordo  com  tudo  da  opção  2,por  falta  de opções    na0  concordo  com tudo  da  opção  1  e  nem  concordo  com  tudo  da  opção  2,pq assassinou,por  falta  de opções    na0  concordo  com tudo  da  opção  1  e  nem  concordo  com  tudo  da  opção  2,por  falta  de opções    na0  concordo  com tudo  da  opção  1  e  nem  concordo  com  tudo  da  opção  2
nao concordo com linchamentos,nao corcordo com nenhum,nao concordo com linchamentos,nao concordo com linchamentos,nao concordo com linchamentos
pq tinha q responder der 1 mas não  acho q linchamento  seja legal em nenhum caso,lonchame não  justifica  em nenhum  caso,porque tinha que responder  uma das questões,sou contra linchamento,sou contra linchamento
não tive opções,poucas opções,poucas opções,falta de opções,mais justificável
e meio complicado tirar uma vida mesmo essa pessoa seja mau nós tornamos iguais a ela,nada justifica um linichamento  a justiça de deus ei maior castigo,não concordo em linichamento,nada justifica se linchar alguém nos tornamos um criminoso também,nada justifica linchar alguém  tornamos assassino
molestou,criança,o crime,estuprou,estuprou
molestou uma mulher.,estupro é imperdoável.,"crime de assassinato e contra um idoso(a), pessoa mais indefesa do que a criminosa.",parabéns a polícia. crime de homicídio.,adulto sem vergonha que molestou uma mulher.
NA,estuprador não pode ficar impune.,crianças são inocentes e devemos protegê-lo. quem molestar uma criança tem q ser punido severamente.,bandidos devem pagar pelos seus crimes.,não é trabalho da polícia fazer linchamento.
"pq a vítima é mulher, é o linchamento foi ocasionado pela família da vítima.","mesmo sendo mulher é a agressão partindo de pedestres, pondero a idade.","o crime cometido foi mais gravoso 
",mesmo sendo adolescente a moléstia foi contra criação,o linchamento por parte de vizinhos é mais aceitável do que por parte de gangue s
"nos casos de idosos, e crianças merecem total proteção.",nesta crianca e adolescente.tem que ser punido.,não deve se tolera o estupro.,vítimas família não se pode passa impuni.,mulher merece respeito.
pelo caso específico de estupro,pela vítima ser uma criança,pela vítima ser um idoso,pelo caso ser de estupro,pela vítima ser idoso(a)
condição social,linchamento não é justificável,condição social,sem chance de defesa da vítima,falta de treinamento e abuso de poder
NA,acho quê o caso 2 foi mais qualificado,acho quê o caso 1 foi mais qualificado,acho quê o caso 1 foi mais qualificado,acho quê o caso 2 foi mais qualificado
porque er o que mais criminoso,sao os que mais tao aprontando mais nao sao so os negros nao.. os brancos tbm ta matando e roubando,era pra ter maid opçao envetidas.,preciso de mais opçao,soh jesus na causa
é o que mais acontece aqui.,mesmo resposta da anterior.,mesma coisa,mesma resposta,mesma coisa
"acho que os linchadores são a maioria da família. e procuram buscar justiça imediata,",acredito que da mesma forma a familia busca sempre justiça.,"neste caso aqui a polícia exagera espancando o batedor de carteira,acontece quase sempre.justifica a raiva da polícia sobre o fato corriqueiro.","aqui geralmente os linchadores justificam-se devido por  o criminoso ter matado uma inocente ,criança.",aqui justifica-se pelo julgamento precipitado da policia em fazer justiça incorretamente.
porque a criminosa é jovem e se prevaleceu da vulnerabilidade para roubar a senhora idosa.,"porque os fatos comprovam que os familiares da vítima foram defende-la por ser idosa.
","por se tratar de assassinato, revoltando a vizinhança.
","porque a vítima é uma criança indefesa os linchadores se revoltaram e agiram em legítima defesa.
","por se tratar de uma vida perdida, é provável que a polícia agiu em legítima defesa."
eu acho que por ser feminina. a família não espera por isso. então isso da um choque em qualquer pessoa principalmente da família.,apesar de ser um roubo de carro não justifica bater em um idoso. até pq. é fraco e pode vir a morte.,não discordo nem concordo.  apesar de o estrupo ser uma doença. mais é o pior crime que existe. então acho que deveria ter a pena de morte.,geralmente a família não faz nada. maos quando com as outras pessoas. na horas as pessoas ficam cega. e fazem sem pensar.,a familia geralmente não vai fazer nada. eu mesmo não faria nada mais nem todos pensam igual eu 99% vão partir pra cima penso eu que até matar.
porque tem que ser muito covarde rouba uma pessoa de idade que não sabe se defender,o crime nojento do estrupador uma criança tem que levar uma surra sim,como falei os idosos não tem como se defender óbvio que tem uns vendendo saúde mais a maiorias são frágeis e a polícia está aí pra isso,os dois casos são abominável mais o um eu achei mais ainda,o caso 1 uma criança que tinha muito ainda para viver o assassino tem sim que pagar
violar a intimidade da pessoa e seus direitos são puniveis de castigo,criança é indefesa,estupro é inadmissível,molestar alguém causa traumas,quem mata tem que estar ciente que morrerá
"primeiro motivo por ser jovem
segundo pq está cometendo o crime na própria vizinhança.",primeiro por ser homem. o homem ja comete o crime de caso pensado.,o homem criminoso ele já sabe quem vai roubar. ele sai a casa com tudo em mente. é a mulher comete o crime as vezes por necessidade.,porque matou? quando um criminoso mata alguém exemplo pau de família ele tirou o direito de uma família ser feliz. porque ele tem que viver?,nesse caso acho que deveria castrar
por ser um crime de molestar alguma pessoa fazendo com que a vitima se sinta com futuros problemas psicológicos,"nenhum caso, pois ninguém deve fazer justiça com as próprias mãos",sem opção de escolhas,sem opção de escolhas,"nenhum caso, pois ninguém deve fazer justiça com as próprias mãos"
"linchamento não pode partir da polícia
",crime contra idoso deve ter punição mais rigorosa,"assassinato é crime bárbaro, e contra criança torna - se pior.",crime contra criança deve ter punição maior,crime contra criança deve ter punição maior
NA,difícil controlar o nervoso de ter um bem  conquistado com muito trabalho  sendo roubado por um idoso,NA,NA,porque e muito difícil controlar a raiva quando um parente e assassinado
"na vdd não considero que linchamento seja o correto a se fzr, porém escolhi o segundo caso porque os linchadores foram familiares da vítima o que também não justifica fzr justiça com as próprias mãos. mas quando acontece algo com um familiar geralmente ficamos cegos diante de determinada situação.","escolhi o caso um porque o caso foi mais grave que o dois, por ter sido um assassinato. o dois foi um roubo de veículos no qual poderá ser recuperado e a vida não se recupera.","porque o linchamento foi praticado por pedestres, não que isso justifique mas o dever dos policiais é conduzir o assaltante para a delegacia e não linchar..",escolhi o dois por ser um adulto.,escolhi o um porque o dois trata-se de um adolescente.
porque foi merecido,ninguém meche com criança,porque é um imundo nojento para chegar perto de um inocente,estuprador de merda,assassino desgraçado
molestou uma criança,assassinou um idoso,estuprou,assassinou um inocente,roubou um idoso
na verdade não concordo plenamente com linchamento. o que acredito é na possibilidade de existência de uma justiça privada e que ela possa ser administrada por pessoas da localidade em questão.,"os dois casos são recrimináveis, mas não passíveis de linchamento, que em si é uma prática bárbara. toda forma de abuso a outro indivíduo é recrimináveis. o fato de ser menor de idade ou indefeso é um agravante.",ambos os casos são recrimináveis. ainda assim não se justifica linchamento,ambos os casos são recrimináveis. ainda assim não se justifica linchamento,ambos os casos são recrimináveis. ainda assim não se justifica linchamento
"sempre homem não mora na região vem rouba e o povo pega pra lincha o cidadão, são as características que vejo nos jornais.",desigualdade social,porque abusou de uma criança e um dos piores crimes.,mesmo caso de abuso! e o crime mais horrendo para uma vítima.,"matou,não se tira vida de ninguém tem que deixa justiça julga para mesmo pagar! mas seria caso linchamento e populares pegassem."
NA,NA,NA,NA,NA
vítima criança,policial,devido a cor,idoso,gangues
porque uma estupro é caso hediondo,"por ser por policiais, eles tem o treinamento preciso.","estupro, seja por negro ou outra, é muito hediondo","de qualquer forma, estupro é caso hediondo. mas, por ser criança, é muito mais grave",estupro é crime.
"pelas caracteristicas do caso.premeditado,maior de idade.etc...","ser jovem,sem interesse ocupação diária,total maníaco,total falta de humanidade.","total falta de senso humano,sem sentimentos,total covardia .","desonesto,sem consideração humana ,covarde. bom",nada justifica a ninguém tirar a vida de um outro ser humano.total falta de senso humano.
"a vida de todos em especial da crianças tem que ser respeitadas, o direito de um termina aonde começa a do outro","
o caso um se trata de uma vítima que é minoria e indefesa sendo ela mulher idosa e indígena","independente de ser homem ou mulher a vítima,a vida tem que ser preservada",NA,NA
por que ele estrupou uma adolescente  e  um estrupou pode ser com quem for e um ato que merece  ser linchado mesmo,por que considero um caso muito importante de ser tratado e levado a justiça,por que e um caso que enbolve um estrupo,por que e um caso de violência contra  criança,por que e um ato  nojento  e que um indivíduo  faz contra uma  pessoa
porque geralmente são os vizinhos que começa um linchamento,porque matou para roubar,por se tratar de uma criança,a indule do criminoso afeta muito no julgamento,todos os atos inlicitos deve ser punidos conforme a lei
por que a vítima era feminina,porque o agressor era masculino,pelo crime praticado,pelo crime praticado,pela vítima ser criança
"não concordo que a violência deva ser usada como punição, acho que somente como contenção, caso o criminoso seja violento e não tenhamos escolha de conte-lo",continuo com a afirmação que não temos que reprimir com violência,"marquei a opção, mas não acredito que a violência seja a solução","violência não resolve, justiça sim, apesar se ser falha no brasil.","violência não resolve, justiça sim, apesar se ser falha no brasil... isso independe de raça ou cor."
"estupro de uma criança, isso é abominável, imperdoável... é uma grande dor para os pais e um grande trauma para a inocente criança.","assassinato é mais grave do que bater uma carteira (caso 1), porém não entendi o que uma criança faz com uma carteira e dinheiro.","ambos são crimes graves, porém existem vários fatores a considerar. por exemplo, a sanidade mental de um idoso está mais comprometida do que a de um adolescente. o fato de ser negro não justifica crimes. à propósito, em nosso país, a maioria dos negros vivem dignamente.",o dever da polícia é de prender e não linchar.,moslestar é mais grave do que bater uma carteira.
"em nenhum dos dois casos é justificado o linchamento sob hipótese alguma, pois não há crimes individuais que justifiquem um crime coletivo de crueldade. é moralmente ofensiva a própria ideia de comparar entre dois crimes coletivos qual o menos ruim. a escolha foi feita aleatória","em nenhum dos dois casos é justificado o linchamento sob hipótese alguma, pois não há crimes individuais que justifiquem um crime coletivo de crueldade. é moralmente ofensiva a própria ideia de comparar entre dois crimes coletivos qual o menos ruim. a escolha foi feita aleatória","em nenhum dos dois casos é justificado o linchamento sob hipótese alguma, pois não há crimes individuais que justifiquem um crime coletivo de crueldade. é moralmente ofensiva a própria ideia de comparar entre dois crimes coletivos qual o menos ruim. a escolha foi feita aleatória","em nenhum dos dois casos é justificado o linchamento sob hipótese alguma, pois não há crimes individuais que justifiquem um crime coletivo de crueldade. é moralmente ofensiva a própria ideia de comparar entre dois crimes coletivos qual o menos ruim. a escolha foi feita aleatória","em nenhum dos dois casos é justificado o linchamento sob hipótese alguma, pois não há crimes individuais que justifiquem um crime coletivo de crueldade. é moralmente ofensiva a própria ideia de comparar entre dois crimes coletivos qual o menos ruim. a escolha foi feita aleatória"
porque a vítima era uma pessoa idosa,porque a vítima era uma criança,porque a vítima era idosa,NA,NA
geralmente os criminosos são adolescentes que cometem crimes de linchamento e estupros,"porque tem a facção de um bairro contra outro se alguém matou uma pessoa de outro bairro, a facção de outro bairro vai querer se vingar",geralmente quando furtam um carro são os adolescentes que sempre saem em gangue para um possível linchamento se caso a vítima reagir,porque os linchadores sao de outro bairro e eles vão bater carteira no. bairro seguinte ou tradicional,as meninas também estão aprendendo a serem linchadoras molesteiam homem e agridem mulheres adultas e idosas
porque envolve um crime peior,porque envolve crime  pior,porque é um crime grave,nenhum,tirou uma vida
so pelos politcos,nao sou a favor lichamento e sim de penas mais severas,acho que nossa justica e muito falha,NA,falta de educacao e uma boa adiministracao e mais oportunidades
porque houve um assassinato e também por que era uma criança,NA,NA,NA,NA
"não acho que linchamento seja justificado de nenhuma maneira, mas tinha que escolher uma das duas opções.",porque o caso 2 é bem possível de acontecer.,"assassinato; qualquer um já é triste e quando a vítima é idosa, é mais revoltante.",acho que bater a carteira de uma velhinha não é motivo para linchamento.,por entender que a revolta dos familiares é mais plausível.
foi adulto sabe o quê faz,pôr quê não aprende,masculino,masculino,masculino
não sou a favor de linchamento. marquei por que nao tem outra opção.,não sou a favor de linchamento. marquei por que nao tem outra opção.,não sou a favor de linchamento. marquei por que nao tem outra opção.,não sou a favor de linchamento. marquei por que nao tem outra opção.,não sou a favor de linchamento. marquei por que nao tem outra opção.
era uma idosa,por ser uma crianca indefesa,novamente por ser criança,por ser idosa,estupro em criança é inconcebível
"por nao haver outra alternativa,como neutro ou disco de tudo",neutro,"neutro,nao ha outra alternativa","neutro,nao ha outra alternativa","neutro,nao ha outra alternativa"
nenhum dos dois se justifica o inchamento...,nenhum,nenhum,nenhum,nenhum
escolhi porque não tem outra opção.,porque não tem outra opção.,"pelo mesmo motivo, não tem outra opção","pelo mesmo motivo, não tem outra opção","pelo mesmo motivo, não tem outra opção"
estupro é crime,"porque a polícia não pode linchar de forma alguma, e no caso o assassino invadiu outro bairro e cometeu um assassinato, causando descontentamento por parte dos membros das gangues.",assassinato,assassinato,molestou criança
"nao concordo com o linchamento, mas neste caso o crime foi muito grave houve uma morte.",a vitima que é uma mulher sofre com certeza com este abuso,a vitima agredida foi um idoso e os linchadores eram os membros da propria familia,a vitima foi um idoso e o criminoso era vizinho,NA
a maior gravidade do caso e a idade da vitima,a gravidade do caso e a idade da vitima,a gravidade do caso e a idade da vitima,a gravidade do caso,a gravidade do caso
"- devido a diferença da gravidade do tipo do crime , o roubo pode ser reparado mas ataque com  violência  a pessoas só cabe a punição .","- no caso 1 houve o crime de tirar a vida de uma pessoa , no caso 2 houve apenas o furto de um objecto mas respeitou a vida da vitima, objectos podem ser recuperado porem uma vida nem sempre.","- no caso 1, vemos que houve um assassinato de um idoso causado por um adolescente que tem sangue frio para matar uma pessoa .
- no caso 2 , entende-se que  as duas envolvidas tem a mesma idade.","- no caso 1 , vemos que o assassino morava em outro bairro portanto nãom tinha motivos para estar ali.
- no caso 2 , podemos considerar que o motivo possa ter sido um desentendimento de vizinhos.","- no caso 1,  houve um ataque a pessoa .
- no caso 2 , houve um crime mas mas que pode ser reparado."
por ser criança.,molestar é horrível sem descrição;,"por ser adulto, já sabe bem o que fa.z. e por ter assassinado",por ter assassinado.,assassinou uma criança
"não que justifique mas, em caso de estupro, a probabilidade de linchamento sempre é maior.","mais uma vez não justifica mas, molestar, assim como estuprar, são crimes com grande incidência de linchamento.",mais uma caso em que se usa a mesma expressão:  o estupro acarreta um incidência muito grande de linchamento seja na rua ou nas cadeias.,mais uma caso em que se usa a mesma expressão:  o estupro acarreta um incidência muito grande de linchamento seja na rua ou nas cadeias.,escolhido o caso 1 já que não se tem dados suficientes para analisar o caso 2 em que não se sabe os motivos do idoso para cometer o caso.
por que ele assasinou,por que ele matou uma mulher,por que matou um senhor de idade,NA,NA
mais justificado por ter dido praticado pela família da vitima e estava emocionalmente envolvidos no caso.,"por ter sido praticado por pessoas que não pensam
 sobre duas atitudes.","sempre acho que o linchamento não deve acontecer, então no caso foi a furia das gang que levou a isso.",por ter sido o crime praticado por um homem.,o cado foi mais grave.
"a impunidade neste país e tão grande que infelizmente o primeiro que é pego vai pagar todos o erros e frustações da população, e de momento também .","a impunidade neste país e tão grande que infelizmente o primeiro que é pego vai pagar todos o erros e frustações da população, e de momento também , a policia não lincha os vigilantes e população sim","a impunidade neste país e tão grande que infelizmente o primeiro que é pego vai pagar todos o erros e frustações da população, o linchamento não justificado mas a raiva do momento , em ambos casos ninguém segura a massa.","a impunidade neste país e tão grande que infelizmente o primeiro que é pego vai pagar todos o erros e frustações da população, e de momento também , a família vai tentar fazer justiça ai...","a impunidade neste país e tão grande que infelizmente o primeiro que é pego vai pagar todos o erros e frustações da população, e de momento também, linchamento não e justificado mas estrupo também não até entre os presos."
porque a vitima é uma criança e provavelmente era conhecida por morarem na mesma vizinhança.,por ser um adolescente,"porque a vítima é uma criança, menino e o crime estupro","por ser vizinho, pelo estupro de um adolescente",por ser vizinho e ter molestado uma criança do mesmo sexo
entendo como  defesa pessoal,"na verdade não concordo praticamente com nenhum dos dois. escolhi o menos pior, exatamente como fazemos nas eleições.",foi o pior crime.,"mesma opinião da  anterior , o crime foi pior é natural uma reação mais violenta da sociedade embora injustificável.","mesma opinião da  anterior , o crime foi pior é natural uma reação mais violenta da sociedade embora injustificável."
"porque assassinou,e mora na vila local","por ter roubado o carro, e ser masculino. um homem tem que respeitar o próximo","porque bateu a carteira,e mora na vizinhança",porque roubou. e é uma gangue. pra esse pessoal não tem perdão,porque mora na vizinhança. e roubou. ladrão prejudica o povo no geral
"linchamento nunca é justificável. mas como tinha que escolher, o caso 2 onde a vítima é uma mulher adolescente indefesa que foi estuprada, que é um ato abominante, ""não humano"", injustificável parece ser o mais certo.",o crime de assassinato é o mais justificável do que o de bater carteira.,pelo crime de estupro. pela idade da vítima.,pelo crime de assassinato.,"pela vítima ser uma mulher, teóricamente indefesa."
"mais grave que caso1, so isso. na realidade os dois não estão corretos.","em primeiro, policia não pode linchar ninguém. por este motivo caso 2 é mais justificado.",roubar o carro é mais grave que bater a carteira,roubar o carro é mais grave que molestar.,assassinar é mais grave que bater a carteira
NA,NA,NA,NA,NA
em caso que envolve estupro.,por ser indigena,por ser negro,idade da vítima de ser criança.,adulto asiático e morar na vizinhança.
a idade do criminoso.,a idade do criminoso e o motivo do crime,o crime,o crime,o crime
acho o pior crime,o crime é pior,acho o pior crime,acho o pior crime,acho o pior crime
"não ""escolhi"" um caso. não concordo com linchamentos. não concordo que linchamentos são ""justificáveis"".","não ""escolhi"" um caso. não concordo com linchamentos. não concordo que linchamentos são ""justificáveis"".","não ""escolhi"" um caso. não concordo com linchamentos. não concordo que linchamentos são ""justificáveis"".","não ""escolhi"" um caso. não concordo com linchamentos. não concordo que linchamentos são ""justificáveis"".","não ""escolhi"" um caso. não concordo com linchamentos. não concordo que linchamentos são ""justificáveis""."
porque e mais simples e isso aconteceu comigo,NA,NA,NA,NA
"linchamento não é atitude justificada em qualquer espécie de crime, pois não devemos combater o mal com o mal. não concordo com linchamento, mas entre os 2 casos, o crime com criança seria justificado pela idade e inocência da vítima.","linchamento não é atitude justificada em qualquer espécie de crime, pois não devemos combater o mal com o mal. não concordo com linchamento, mas entre os 2 casos, o crime realizado por um homem, mesmo que indígena, seria justificado por ter mais força sobre a adolescente mulher.","linchamento não é atitude justificada em qualquer espécie de crime, pois não devemos combater o mal com o mal. não concordo com linchamento, mas entre os 2 casos, o caso1 seria justificado pelo ato de violência contra adolescente mulher.","linchamento não é atitude justificada em qualquer espécie de crime, pois não devemos combater o mal com o mal. não concordo com linchamento, mas entre os 2 casos, o caso 2 seria justificado pela força do homem sobre a idosa, pela violência do ato.","linchamento não é atitude justificada em qualquer espécie de crime, pois não devemos combater o mal com o mal. não concordo com linchamento, mas entre os 2 casos, o caso 2 seria justificado por ser homem."
não concordo absolutamente com qualquer tipo de linchamento. escolhi o número 1 porque não tinha opções.,não acho justificável em nenhum caso com qualquer tipo de linchamentoi.,não concordo com nenhum caso de linchamento.,em nenhum caso,em nenhum caso
crime contra idosos,abuso,"crimes contra crianca
",crime contra negros,crimes contra a mulher
